Year,ID,LaborStatus,OccupationalPrestigeScore,MaritalStatus,NumChildren,Age,HighestSchoolCompleted,Sex,Race,ChildhoodFamilyIncome,TotalFamilyIncome,RespondentIncome,PoliticalParty,OpinionOfIncome,SexualOrientation
2014,1,Working fulltime,0,Divorced,0,53.000000,16,Male,White,Below average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,2,Working fulltime,0,Married,0,26.000000,16,Female,White,Average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,3,"Unempl, laid off",0,Divorced,1,59.000000,13,Male,White,Below average,$25000 or more,Not applicable,Strong republican,Below average,Heterosexual or straight
2014,4,Working parttime,0,Married,2,56.000000,16,Female,White,Below average,$25000 or more,$10000 - 14999,Not str republican,Above average,Heterosexual or straight
2014,5,Retired,0,Married,3,74.000000,17,Female,White,Above average,Refused,Not applicable,Independent,Average,Heterosexual or straight
2014,6,Working fulltime,0,Married,1,56.000000,17,Female,White,Above average,$25000 or more,$25000 or more,Strong republican,Above average,No answer
2014,7,No answer,0,Married,2,63.000000,12,Male,White,Below average,Refused,Refused,Strong republican,No answer,Not applicable
2014,8,Working fulltime,0,Married,2,34.000000,17,Male,White,Average,$25000 or more,$25000 or more,Don't know,Average,Not applicable
2014,9,Other,0,Never married,4,37.000000,10,Female,White,Average,$15000 - 19999,Not applicable,Independent,Below average,Heterosexual or straight
2014,10,Working fulltime,0,Married,3,30.000000,15,Female,Other,Far below average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,11,Keeping house,0,Married,2,43.000000,5,Female,Other,Far below average,$10000 - 14999,Not applicable,Independent,Don't know,Heterosexual or straight
2014,12,Other,0,Never married,0,56.000000,11,Male,White,Below average,$10000 - 14999,Not applicable,Independent,Far above average,Heterosexual or straight
2014,13,Retired,0,Divorced,5,69.000000,8,Male,White,Below average,$15000 - 19999,Not applicable,Independent,Far below average,Heterosexual or straight
2014,14,Working fulltime,0,Married,2,40.000000,11,Female,White,Below average,$20000 - 24999,$20000 - 24999,Not str democrat,Far below average,Not applicable
2014,15,School,0,Never married,0,25.000000,16,Female,White,Below average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,16,Working parttime,0,Married,3,56.000000,16,Male,White,Average,$25000 or more,$20000 - 24999,Strong republican,Average,Heterosexual or straight
2014,17,Working parttime,0,Divorced,3,51.000000,13,Female,Other,Below average,$10000 - 14999,$25000 or more,Not str democrat,Below average,Not applicable
2014,18,Working fulltime,0,Never married,0,46.000000,13,Male,White,Average,$25000 or more,$25000 or more,Independent,Average,Not applicable
2014,19,Working fulltime,0,Married,2,51.000000,14,Male,White,Average,$25000 or more,$20000 - 24999,"Ind,near rep",Average,Heterosexual or straight
2014,20,Working fulltime,0,Divorced,2,39.000000,8,Female,Other,Average,$7000 to 7999,$6000 to 6999,Not str democrat,Far above average,Not applicable
2014,21,Working fulltime,0,Divorced,2,30.000000,14,Female,Black,Average,$20000 - 24999,$20000 - 24999,Independent,Below average,Heterosexual or straight
2014,22,Keeping house,0,Never married,3,36.000000,12,Female,White,Below average,Don't know,Not applicable,"Ind,near rep",Average,Heterosexual or straight
2014,23,Keeping house,0,Separated,3,42.000000,11,Female,White,Above average,$10000 - 14999,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,24,School,0,Never married,0,38.000000,14,Male,Other,Average,$25000 or more,Not applicable,Not str democrat,Below average,Heterosexual or straight
2014,25,Working fulltime,0,Never married,2,38.000000,15,Female,White,Average,$25000 or more,$25000 or more,Strong democrat,Below average,Heterosexual or straight
2014,26,Working parttime,0,Never married,0,28.000000,18,Female,Black,Above average,Lt $1000,Not applicable,"Ind,near dem",Far below average,Heterosexual or straight
2014,27,Working fulltime,0,Separated,2,35.000000,13,Male,White,Average,$20000 - 24999,$20000 - 24999,Independent,Average,Heterosexual or straight
2014,28,Working fulltime,0,Married,6,57.000000,16,Male,White,Average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,29,Working fulltime,0,Married,2,50.000000,15,Male,White,Below average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,30,Working fulltime,0,Divorced,1,54.000000,16,Male,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,31,Keeping house,0,Married,0,No answer,17,Female,White,Above average,$25000 or more,Not applicable,Independent,Average,Heterosexual or straight
2014,32,Working fulltime,0,Divorced,3,61.000000,16,Female,White,Far below average,$25000 or more,$25000 or more,"Ind,near dem",Below average,Heterosexual or straight
2014,33,Temp not working,0,Never married,0,54.000000,16,Female,White,Average,$25000 or more,Refused,Not str republican,Above average,Heterosexual or straight
2014,34,Working fulltime,0,Married,2,47.000000,16,Male,White,Average,Refused,Refused,No answer,Average,Heterosexual or straight
2014,35,Working fulltime,0,Married,2,53.000000,12,Male,Other,Below average,$25000 or more,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,36,Working fulltime,0,Married,2,37.000000,12,Female,Black,Far below average,Don't know,$20000 - 24999,Independent,Far below average,Dont know
2014,37,Working fulltime,0,Never married,2,38.000000,11,Female,Other,Average,$25000 or more,$8000 to 9999,Independent,Below average,Heterosexual or straight
2014,38,Working fulltime,0,Divorced,0,31.000000,14,Male,White,Above average,$25000 or more,$25000 or more,"Ind,near rep",Average,Heterosexual or straight
2014,39,Working parttime,0,Widowed,2,69.000000,10,Female,White,Below average,$25000 or more,Don't know,Not str republican,Average,Heterosexual or straight
2014,40,Working fulltime,0,Married,1,35.000000,16,Male,White,Below average,$25000 or more,$25000 or more,Not str democrat,Above average,Heterosexual or straight
2014,41,Working parttime,0,Married,2,61.000000,17,Female,White,Average,Refused,Refused,"Ind,near rep",Above average,Heterosexual or straight
2014,42,Retired,0,Married,3,80.000000,14,Male,White,Below average,$25000 or more,Not applicable,Strong republican,Below average,Not applicable
2014,43,Other,0,Never married,0,59.000000,11,Male,White,Below average,Refused,Not applicable,Independent,Below average,Heterosexual or straight
2014,44,Working fulltime,0,Never married,0,26.000000,14,Male,White,Average,Refused,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,45,Working fulltime,0,Separated,1,50.000000,16,Female,White,Average,$25000 or more,$25000 or more,Strong republican,Above average,Heterosexual or straight
2014,46,Working fulltime,0,Never married,2,43.000000,12,Female,Black,Far below average,$25000 or more,$25000 or more,Strong democrat,Below average,Heterosexual or straight
2014,47,Working fulltime,0,Never married,0,30.000000,15,Male,White,Average,$25000 or more,$25000 or more,Not str republican,Average,Heterosexual or straight
2014,48,Working fulltime,0,Married,4,59.000000,11,Male,White,Below average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
